tweet_id,screen_name,utc_date,ny_time,source,favorites,retweets,replies,quotes,lang,tweet_type,text,quote,country_code,place,latitude,longitude,urls,media_type,media1,media2,media3,media4
1377351062672183296,k3ymir,2021-03-31T20:04:17.000Z,"3/31/2021, 4:04:17 PM",Twitter for iPhone,2,0,0,0,en,reply,"i love boba dont get me wrong, but wow is it overused as an identity marker",,,,,,,,,,,
1375208628743929856,mustbe_lys,2021-03-25T22:11:01.000Z,"3/25/2021, 6:11:01 PM",Twitter Web App,3,0,1,0,en,reply,"(24/70) Sporting 626

Asian-Americans make up a quarter of the San Gabriel Valley's population, and this team's identity is an appreciation of the area's rich cultural heritage. The crest &amp; home jersey are a Chinese dragon design, and the clash references the area's boba culture. https://t.co/Rub17YqtGg",,,,,,,photo photo,https://pbs.twimg.com/media/ExW40_tU8AUTMaH.jpg,https://pbs.twimg.com/media/ExW475MVgAIf-Oa.jpg,,
1374243866228965377,bobakeiz,2021-03-23T06:17:24.000Z,"3/23/2021, 2:17:24 AM",Twitter for iPhone,2,0,0,0,it,reply,@katlienteee when my whole identity is based off of boba uwu JSJDSJDJKSDI LOL,,,,,,,,,,,
1374142711729586179,GlimpseSC,2021-03-22T23:35:27.000Z,"3/22/2021, 7:35:27 PM",Twitter Web App,0,0,0,0,en,tweet,"Correspondent Valerie Wu discusses the popularity of #boba as both a cultural symbol of #Taiwan and a strategic form of #softpower amid globalization. The popular drink may just be tool in the step toward defining a distinct Taiwanese identity abroad.

https://t.co/5RLgaZnLz7",,,,,,https://www.glimpsefromtheglobe.com/regions/asia-and-the-pacific/boba-diplomacy-bubble-teas-influence-on-taiwans-soft-power/ ,,,,,
1373986534412664834,Reyna_sx,2021-03-22T13:14:51.000Z,"3/22/2021, 9:14:51 AM",Twitter for iPhone,1,0,1,0,en,reply,@dezaya19fan imagine having boba ingrained into your identity please get off my tl✋🏽,,,,,,,,,,,
1373752989496786948,notXiangyu,2021-03-21T21:46:50.000Z,"3/21/2021, 5:46:50 PM",Twitter for Android,29,0,0,0,en,tweet,"Sorry, representAsians, boba liberals, boba commies, and bananas in general, but when the vast majority of Asian immigrants in the US are first generation and unassimilated working class immigrants, I care more about them than your issues with your identity that you can resolve.",,,,,,,,,,,
1373511710414282757,geoffreytnguyen,2021-03-21T05:48:05.000Z,"3/21/2021, 1:48:05 AM",Twitter for iPhone,0,0,1,0,en,reply,"I’ve never explained to you what a 

boba liberal is, basically it only exists

in 🇺🇸. It’s like an Asian-American who

takes the most basic parts of AA

culture and makes it their whole 

identity on here. Like if eye talked about

pho and croissants 🥐 all the time.",,,,,,,,,,,
1373069768190664704,timothy_phan,2021-03-20T00:31:57.000Z,"3/19/2021, 8:31:57 PM",Twitter Web App,14,0,1,0,en,reply,"My identity isn't tied to a flag, it's tied to the people around me who nourish me with hope (and boba). 

So cheers to all of you who've been there this week, in previous weeks, and in the fights to come.",,,,,,,,,,,
1372830937885536261,sookuhtawn,2021-03-19T08:42:56.000Z,"3/19/2021, 4:42:56 AM",Twitter Web App,0,0,0,0,en,tweet,"More re: @cathyparkhong 's excellent thoughts here:

""building an Asian American identity that’s beyond loving boba tea and K-pop."" https://t.co/7gRCxXTe2Y","“Because we’re invisible, the racism against us has also been invisible. This is why it’s important that people are speaking up,” @cathyparkhong tells @morganhikaru: https://t.co/1ptHKqPLr7",,,,,https://twitter.com/TheAtlantic/status/1372309686221991942 ,,,,,
1372293164774526977,removeanime,2021-03-17T21:06:01.000Z,"3/17/2021, 5:06:01 PM",Twitter Web App,0,0,0,0,en,tweet,"There is no AAPI - a Mongolian has nothing in common with a Filipino. To suggest to bundle such a wide variety of diverse groups together is imperialism crafted by ""Asian Americans"" who have no identity other than popcorn chicken and boba.",,,,,,,,,,,
1372238859950456835,Lilth56_,2021-03-17T17:30:13.000Z,"3/17/2021, 1:30:13 PM",Twitter for iPhone,4,0,0,0,en,reply,"@stillgray The Asian identity of boba liberals is very shallow since it goes directly against their goal of aspiring to whiteness, so they use surface level stereotypical Asian traits",,,,,,,,,,,
1372052057314627587,shui_zhong,2021-03-17T05:07:56.000Z,"3/17/2021, 1:07:56 AM",Twitter for Android,42,8,1,0,en,tweet,boba is from taiwan &amp; has been around since the 1980s. it's important enough to taiwanese ntl identity that it was proposed as a passport cover. the fact that it's widely regarded as chinese or pan-asian in the united states undermines taiwanese sovereignty. in this essay i will-,,,,,,,,,,,
1369860598343798784,NewYorker,2021-03-11T03:59:52.000Z,"3/10/2021, 10:59:52 PM",SocialFlow,114,17,3,5,en,tweet,"How boba became a ubiquitous, Instagram-friendly mark of Asian identity. https://t.co/KK9icq2aX1",,,,,,https://www.newyorker.com/culture/personal-history/chronicles-of-a-bubble-tea-addict?utm_campaign=falcon&utm_social-type=owned&utm_brand=tny&mbid=social_twitter&utm_medium=social&utm_source=twitter ,,,,,
1369446059307634690,FengChaOC,2021-03-10T00:32:38.000Z,"3/9/2021, 7:32:38 PM",Twitter for iPhone,4,0,0,0,en,tweet,Secret of the day: the identity of Feng Cha Father is kept a secret so he can go spy on other boba stores,,,,,,,,,,,
1368738465479790598,aroceu,2021-03-08T01:40:54.000Z,"3/7/2021, 8:40:54 PM",Twitter Web App,24,0,5,1,en,tweet,"here i am, your local picrew hoe

couldn't decide if boba or video games were more imperative to my identity so i just did both

picrew link:  https://t.co/FIHs86MmfI https://t.co/1AHaD4BiN1",,,,,,https://picrew.me/image_maker/338224 ,photo photo,https://pbs.twimg.com/media/Ev68XvwXcAIZm_W.png,https://pbs.twimg.com/media/Ev68XvuXEAAHimE.png,,
1368710380286078976,campbellbovaird,2021-03-07T23:49:18.000Z,"3/7/2021, 6:49:18 PM",Twitter for iPhone,9,0,1,0,en,tweet,I cannot decide if I like boba or not. I feel like so much of my identity rides on the answer to this question.,,,,,,,,,,,
1368549967778971655,TVTBennyhana,2021-03-07T13:11:53.000Z,"3/7/2021, 8:11:53 AM",Twitter Web App,0,0,0,0,en,reply,"@herakets @Boba_Tett @stranahan I said “attempted.” Mind you, I DO have opinions and I’m not afraid to share them, albeit I try to keep them from being broadcast to the entire world, or otherwise hang a yoke of identity around my neck that will be on my “permanent record.”",,,,,,,,,,,
1368315981462990856,SleeplessTV_,2021-03-06T21:42:06.000Z,"3/6/2021, 4:42:06 PM",Twitter Web App,0,0,0,0,en,reply,"@Doyago_Naga @Boba_Tett I've got nothing against most of em folks but I really dislike those that identify as part of the larger ""community"" that seem to normalize this sort of stuff being okay. Being dishonest about your identity to people not interested in that is a line crossed way too far.",,,,,,,,,,,
1367684291036123139,NewYorker,2021-03-05T03:51:59.000Z,"3/4/2021, 10:51:59 PM",SocialFlow,162,27,6,3,en,tweet,"How boba became a ubiquitous, Instagram-friendly mark of Asian identity. https://t.co/wsaBfKTGuA",,,,,,https://www.newyorker.com/culture/personal-history/chronicles-of-a-bubble-tea-addict?utm_campaign=falcon&utm_source=twitter&utm_brand=tny&mbid=social_twitter&utm_medium=social&utm_social-type=owned ,,,,,
1367125501291200518,karishustad,2021-03-03T14:51:34.000Z,"3/3/2021, 9:51:34 AM",Twitter Web App,0,0,0,0,en,tweet,"“Assimilation, in other words, is an impossible process of pouring oneself into another while holding onto a sense of self.” A rly good piece on boba and identity and a whole lot more: https://t.co/AbjJZkNDvo",,,,,,https://www.newyorker.com/culture/personal-history/chronicles-of-a-bubble-tea-addict ,,,,,
1366865816994476033,US_China_Menu,2021-03-02T21:39:40.000Z,"3/2/2021, 4:39:40 PM",Twitter Web App,4,0,0,0,en,tweet,"Boba Liberal Chinese Diaspora: 
""My identity is intersectional Chinese-ness and the idea of Chineseness is imperialist.""

Aggrieved Conservative Anglosphere:
""Looks Chinese to me."" (punch 🤜 punch 🤜) 
https://t.co/KDgaJXzf27",,,,,,https://www.scmp.com/news/world/europe/article/3123825/chinese-virus-get-out-lecturer-china-beaten-britain-amid-spike ,,,,,
1366840116010840067,austinzheng,2021-03-02T19:57:32.000Z,"3/2/2021, 2:57:32 PM",Twitter Web App,0,0,1,0,en,reply,"@moghilemear13 With all respect, I'm not seeing the problem with people not choosing to actively identify with their heritage. It seem strictly better than having boba liberals or whoever constructing actively malignant alternate interpretations of 'Chinese identity'.",,,,,,,,,,,
1366613759251382272,harryguitartat,2021-03-02T04:58:05.000Z,"3/1/2021, 11:58:05 PM",Twitter for iPhone,7,0,3,0,en,tweet,"my brain the last 20 minutes:

courtney and brynn are shorter than me

identity crisis + friends 

schitts creek

missing the besties

picking up extra shifts

boba

thank you and goodnight",,,,,,,,,,,
1365795376805015552,allenmhc,2021-02-27T22:46:07.000Z,"2/27/2021, 5:46:07 PM",Twitter for iPhone,0,0,0,0,en,tweet,How Bubble Tea Became a Complicated Symbol of Asian-American Identity https://t.co/KMlUY2cj7C via @Instapaper,,,,,,https://www.eater.com/2019/11/5/20942192/bubble-tea-boba-asian-american-diaspora ,,,,,
1364961025209032708,samanthalui_,2021-02-25T15:30:42.000Z,"2/25/2021, 10:30:42 AM",Twitter Web App,7,0,2,0,en,reply,"I also wonder how buying bubble tea from Chatime or Coco suddenly became a part of Asian identity or a ""buzzy cultural object."" Buying a $3 boba in the early 2010s was a way to treat myself. 

I still love my BBT but I can't help but wonder how commercialized it's become.",,,,,,,,,,,
