tweet_id,screen_name,utc_date,ny_time,source,favorites,retweets,replies,quotes,lang,tweet_type,text,quote,country_code,place,latitude,longitude,urls,media_type,media1,media2,media3,media4
1372750559145381889,Jessicode_,2021-03-19T03:23:32.000Z,"3/18/2021, 11:23:32 PM",Twitter for iPhone,0,0,0,0,en,tweet,M Tea is such a cute place!! #NewYork #nyc #queens #pink #bubbletea https://t.co/2F3nJJ7MGf,,,,,,,video,https://video.twimg.com/ext_tw_video/1372750524160700417/pu/vid/480x852/F3zXqZ4T5GJOBsIi.mp4?tag=12,,,
1360598224701173762,JUDYCYANG,2021-02-13T14:34:30.000Z,"2/13/2021, 9:34:30 AM",Twitter for iPhone,2,0,0,0,en,tweet,Happy Lunar New Year! ????? Wishing everyone an eggscellent year of the ox ?? #happylunarnewyear #lunarnewyear #gold #golden #biaosugar #bbt #bubbletea #boba #goldenegg #nyc #milktea #eggscellent #foodie #nycfoodie https://t.co/gxvrpxenAj,,,,,,,photo,https://pbs.twimg.com/media/EuHQ3edWgAUb6pV.jpg,,,
1359555708535136256,FamousFoodFest,2021-02-10T17:31:54.000Z,"2/10/2021, 12:31:54 PM",Hootsuite Inc.,0,0,0,0,en,tweet,"Your sincereTea makes me go Bubbly.??
.
.
.
???? @andacafenewyork
.
.
.
#NewYorkFoodie #NYC #OneNewYork #Hamptons #Foodie #DeerPark #LongIsland
#Oolong #BubbleTea #Boba
#TeaTime #BubbleTease #BubbleTeaLover #bubblemilktea #bubbleteas #bobaislife #bubbletealover #bubbletea https://t.co/KrTczoP0mH",,,,,,,photo,https://pbs.twimg.com/media/Et4ctmMXMAcEMs9.jpg,,,
1355639809147076609,HoiNingYau,2021-01-30T22:11:31.000Z,"1/30/2021, 5:11:31 PM",Instagram,0,0,0,0,en,tweet,"Take a machi break.

#bubbletea #sipandbreak #nyc #newyork #brooklyn #manhattan https://t.co/Alo9f7WvDG",,,,,,https://www.instagram.com/p/CKr3eC8Mi9A/?igshid=1u65osbgk8gze ,,,,,
1353715108069965828,BubbleTeaSupply,2021-01-25T14:43:27.000Z,"1/25/2021, 9:43:27 AM",IFTTT,0,0,0,0,en,tweet,"?? #Repost @v.captures21
.
??????
?5/16/2019?
.
.
.
.
.
.
.
.
.
.
#momentea #bubbletea #boba #nyc #nyceats #foodie #foodstagram https://t.co/8pAshE77kb https://t.co/4LkEoTyDql",,,,,,https://www.instagram.com/p/CKeEZpKgCX0/ ,photo,https://pbs.twimg.com/media/Eslct6MW4AEKBiX.jpg,,,
1353098462120783874,Alex_The_Gray1,2021-01-23T21:53:07.000Z,"1/23/2021, 4:53:07 PM",Twitter for Android,0,0,0,0,und,tweet,#NewProfilePic #NewProfilePic2021 #ThePuertoRicanPrince #Stitch #Boba #BubbleTea #BabyBlue #Model #Artist #NY #NYC #NewYear #21stcenturyvampire https://t.co/mB4rUqwO4B,,,,,,,photo,https://pbs.twimg.com/media/Escr4TQW4AAdLPA.jpg,,,
1350516231565152268,YvonneMeetsFood,2021-01-16T18:52:15.000Z,"1/16/2021, 1:52:15 PM",Twitter Web App,2,0,0,0,en,tweet,"The State of #BubbleTea or #BobaTea in the US  ?? ?? ?? ???? - the biggest reviewer of Boba is a ""Jessica"" ... More Boba = More Income + Education + Divorce ... and the best Bubble Tea in #NYC is 'Tea &amp; Milk' in #Astoria https://t.co/rUdvR2rb0M #Taiwan #Saturday #weekend",,,,,,https://mynameisjeff.substack.com/p/i-found-every-boba-shop-in-the-us ,,,,,
1348313749048983555,notsobrazilian,2021-01-10T17:00:22.000Z,"1/10/2021, 12:00:22 PM",WordPress.com,0,0,0,0,en,tweet,"Where to find Tapioca flour in New York?
#notsobrazilian #tapioca #brazilianfood #thailand #bubbletea #boba #milktea #cooking #chinatown #newyork #nyc #paodequeijo https://t.co/rEfKAy0mDW",,,,,,https://notsobrazilian.wordpress.com/2021/01/10/tapioca-flour-in-new-york/ ,,,,,
1347623311337955328,bluethesadcolor,2021-01-08T19:16:49.000Z,"1/8/2021, 2:16:49 PM",Instagram,0,0,0,0,en,tweet,"Bad bitches like pink 
??

-
-
-
-
#mtea #mua #makeupartist #model #pink #aesthetic #nyc #photoshoot #bobatea #bubbletea #flushing #fashion #fashionblog #modeling #aqualiner #red #explore @ M Tea https://t.co/FIvfHMU2tJ",,US,"Queens, NY",40.76167,-73.83154,https://www.instagram.com/p/CJy5_NvJNeC/?igshid=ba1qug2xsym ,,,,,
1345225400662814720,sami_baba,2021-01-02T04:28:23.000Z,"1/1/2021, 11:28:23 PM",Twitter for iPhone,0,0,0,0,en,tweet,So We called this bubble tea place. They picked up. No �hi.�  No �hello.� Just.... �WE CLOSE AT 1 AM!!� Lol. That�s #nyc for you. #bubbletea,,,,,,,,,,,
